depot,line,type,bothdepots,doubledecker
cicerostrasse,M11,GN,0,0
cicerostrasse,M19,GN,0,0
muellerstrasse,M21,GN,0,0
muellerstrasse,M27,GN,0,0
cicerostrasse,M29,DL,0,0
cicerostrasse,M43,GN,0,0
cicerostrasse,M46,DL,0,0
cicerostrasse,M48,GN,0,0
cicerostrasse,M76,GN,0,0
cicerostrasse,M82,DL,0,0
cicerostrasse,M85,GN,1,1
cicerostrasse,M10,GN,0,0
muellerstrasse,X11,GN,0,0
muellerstrasse,X33,GN,0,0
cicerostrasse,X83,GN,0,1
cicerostrasse,101,DL,0,0
muellerstrasse,109,EN,0,0
cicerostrasse,110,EN,0,0
cicerostrasse,115,EN,0,0
muellerstrasse,120,GN,0,0
muellerstrasse,122,GN,0,0
muellerstrasse,123,EN,0,0
muellerstrasse,124,EN,0,0
muellerstrasse,125,GN,0,0
muellerstrasse,128,EN,0,0
cicerostrasse,143,EN,0,0
muellerstrasse,150,GN,0,0
cicerostrasse,184,EN,0,0
cicerostrasse,186,DL,0,0
cicerostrasse,187,EN,1,0
cicerostrasse,188,EN,0,0
cicerostrasse,215,EN,0,0
cicerostrasse,218,GN,0,1
muellerstrasse,220,GN,0,0
muellerstrasse,221,GN,0,0
muellerstrasse,222,GN,0,0
muellerstrasse,245,GN,0,0
muellerstrasse,247,EN,0,0
cicerostrasse,249,EN,0,0
cicerostrasse,282,DL,0,0
cicerostrasse,283,EN,0,0
cicerostrasse,284,EN,0,0
cicerostrasse,285,DL,0,0
cicerostrasse,309,EN,0,0
cicerostrasse,312,GN,0,0
muellerstrasse,322,EN,0,0
muellerstrasse,324,EN,0,0
muellerstrasse,327,EN,0,0
